feature,feature_value,shap_value,absolute_shap
V34,1.0,0.0019564751992632106,0.0019564751992632106
M1,2.0,0.0019529853093545374,0.0019529853093545374
V324,0.0,0.0019442174964634836,0.0019442174964634836
V265,670.843505859375,-0.0018198419699087924,0.0018198419699087924
V194,2.0,0.0018183880824713871,0.0018183880824713871
V131,0.0,-0.001768098687670577,0.001768098687670577
V129,0.0,-0.0016026163984453965,0.0016026163984453965
V19,1.0,-0.0015600091262562286,0.0015600091262562286
V69,0.0,0.0015506800574933827,0.0015506800574933827
V280,0.0,0.0015440062707492439,0.0015440062707492439
id_12,1.0,-0.0015161376987218788,0.0015161376987218788
id_33,236.0,-0.0014866421552033435,0.0014866421552033435
V72,1.0,-0.0014853997777637333,0.0014853997777637333
V293,0.0,0.001475985815539294,0.001475985815539294
V160,0.0,0.001473137312847162,0.001473137312847162
V231,13.0,-0.0014725904561159876,0.0014725904561159876
V216,0.0,0.001466205793743396,0.001466205793743396
V157,1.0,0.001458044597909432,0.001458044597909432
V159,0.0,0.0014312093621474406,0.0014312093621474406
V308,0.0,-0.0014053740900798575,0.0014053740900798575
V2,1.0,0.0013497849083893554,0.0013497849083893554
V275,643.2919921875,-0.0012824554168059078,0.0012824554168059078
V339,0.0,0.0012428412821003801,0.0012428412821003801
V90,0.0,0.0012408785014149314,0.0012408785014149314
id_36,0.0,0.0012347988400683637,0.0012347988400683637
V314,0.0,0.0012201949207863822,0.0012201949207863822
V156,1.0,-0.0012121723014258952,0.0012121723014258952
V234,1.0,0.0011633719756283147,0.0011633719756283147
V304,1.0,0.0011567736750147312,0.0011567736750147312
V126,98.96800231933594,0.0011305556497300914,0.0011305556497300914
V188,5.0,0.001090515600622721,0.001090515600622721
V335,0.0,0.0010650509612658587,0.0010650509612658587
M2,2.0,-0.0010277600220921254,0.0010277600220921254
C9,0.0,0.0010207782329170604,0.0010207782329170604
V3,1.0,-0.0010009503764825817,0.0010009503764825817
V238,0.0,0.0009975459457551394,0.0009975459457551394
V73,1.0,-0.0009966250920303186,0.0009966250920303186
id_09,0.0,-0.0009938032191352379,0.0009938032191352379
V263,643.2919921875,-0.0009882739777728258,0.0009882739777728258
V80,1.0,0.0009808306700277063,0.0009808306700277063
V219,14.0,-0.00092035633886725,0.00092035633886725
V182,0.0,0.0009037161689798064,0.0009037161689798064
V329,0.0,0.000855504612557337,0.000855504612557337
V141,0.0,0.0008442352324526634,0.0008442352324526634
V140,1.0,0.0008093911761876864,0.0008093911761876864
id_03,0.0,-0.0007818405920120231,0.0007818405920120231
V109,1.0,-0.0007620054474343581,0.0007620054474343581
id_34,4.0,0.0007588346908967224,0.0007588346908967224
V67,1.0,-0.0007567003042530477,0.0007567003042530477
V13,0.0,-0.0007000121209135289,0.0007000121209135289
V149,1.0,-0.0006889466176528827,0.0006889466176528827
V20,1.0,-0.0006718590820160477,0.0006718590820160477
V42,1.0,-0.0006475350009497242,0.0006475350009497242
V276,0.0,0.0006308584886095358,0.0006308584886095358
V143,0.0,0.0006301223918923068,0.0006301223918923068
V136,0.0,-0.0006277856490824268,0.0006277856490824268
id_28,0.0,-0.0006274000672296789,0.0006274000672296789
V306,0.0,0.000624230051585523,0.000624230051585523
V184,0.0,0.000616876176970838,0.000616876176970838
V83,1.0,-0.0006153558803140875,0.0006153558803140875
