feature,feature_value,shap_value,absolute_shap
V237,0.0,0.00014306330852845847,0.00014306330852845847
id_10,0.0,0.00014148693069452434,0.00014148693069452434
V177,0.0,-0.00013817115747505974,0.00013817115747505974
V178,0.0,0.00013664436108530814,0.00013664436108530814
V313,0.0,0.000133891267264959,0.000133891267264959
V219,0.0,0.00013242916600785323,0.00013242916600785323
V231,0.0,0.000129459940920353,0.000129459940920353
V120,1.0,0.00012690104121757393,0.00012690104121757393
V243,1.0,-0.00012380314749215035,0.00012380314749215035
V132,0.0,0.00011494127415662872,0.00011494127415662872
V254,1.0,0.00011473525385226806,0.00011473525385226806
V210,0.0,0.00011334331941835701,0.00011334331941835701
V296,0.0,-0.00011324474252791065,0.00011324474252791065
V334,0.0,-0.00011308567541839102,0.00011308567541839102
V176,1.0,0.00011041763559418096,0.00011041763559418096
V121,1.0,0.0001092348103377196,0.0001092348103377196
V39,0.0,-0.00010833120954172141,0.00010833120954172141
V288,0.0,0.00010808410404098544,0.00010808410404098544
V215,0.0,0.00010362359929581559,0.00010362359929581559
id_29,0.0,0.00010195058638370847,0.00010195058638370847
V200,1.0,-8.99603629117399e-05,8.99603629117399e-05
V259,1.0,8.881821694931411e-05,8.881821694931411e-05
V337,0.0,8.54382722682428e-05,8.54382722682428e-05
V52,0.0,8.253347778445733e-05,8.253347778445733e-05
V183,0.0,8.057165067255575e-05,8.057165067255575e-05
V314,0.0,7.826389406687837e-05,7.826389406687837e-05
V197,1.0,-7.439665638489542e-05,7.439665638489542e-05
V172,0.0,7.272781213380261e-05,7.272781213380261e-05
V242,1.0,-7.261503403633444e-05,7.261503403633444e-05
V146,0.0,-7.25009023777746e-05,7.25009023777746e-05
V330,0.0,7.108797474976556e-05,7.108797474976556e-05
V198,1.0,-7.061209421606074e-05,7.061209421606074e-05
V233,0.0,6.990793895510938e-05,6.990793895510938e-05
V100,0.0,6.766861792733653e-05,6.766861792733653e-05
V106,0.0,6.712836936047722e-05,6.712836936047722e-05
V238,0.0,-5.7401320312997726e-05,5.7401320312997726e-05
V21,0.0,-5.7367449670100283e-05,5.7367449670100283e-05
V194,1.0,-5.452020464507744e-05,5.452020464507744e-05
V116,1.0,-5.2820921072343795e-05,5.2820921072343795e-05
V297,0.0,-5.269748751824256e-05,5.269748751824256e-05
V17,0.0,-4.78814770227771e-05,4.78814770227771e-05
V72,0.0,4.6838592036794224e-05,4.6838592036794224e-05
V227,0.0,-4.659240650861696e-05,4.659240650861696e-05
V300,0.0,-4.6310696065190176e-05,4.6310696065190176e-05
V31,0.0,-4.467436165898943e-05,4.467436165898943e-05
V173,0.0,4.445275882683055e-05,4.445275882683055e-05
V163,0.0,-4.280642461966593e-05,4.280642461966593e-05
